,TV,Radio,Newspaper,Sales
5234,265.6,20,0.3,17.4
5235,95.7,1.4,7.4,9.5
5236,290.7,4.1,8.5,12.8
5237,266.9,43.8,5,25.4
5238,74.7,49.4,45.7,14.7
5239,43.1,26.7,35.1,10.1
5240,228,37.7,32,21.5
5241,202.5,22.3,31.6,16.6
5242,177,33.4,38.7,17.1
5243,293.6,27.7,1.8,20.7
5244,206.9,8.4,26.4,12.9
5245,25.1,25.7,43.3,8.5
5246,175.1,22.5,31.5,14.9
5247,89.7,9.9,35.7,10.6
5248,239.9,41.5,18.5,23.2
5249,227.2,15.8,49.9,14.8
5250,66.9,11.7,36.8,9.7
5251,199.8,3.1,34.6,11.4
5252,100.4,9.6,3.6,10.7
5253,216.4,41.7,39.6,22.6
5254,182.6,46.2,58.7,21.2
5255,262.7,28.8,15.9,20.2
5256,198.9,49.4,60,23.7
5257,7.3,28.1,41.4,5.5
5258,136.2,19.2,16.6,13.2
5259,210.8,49.6,37.7,23.8
5260,210.7,29.5,9.3,18.4
5261,53.5,2,21.4,8.1
5262,261.3,42.7,54.7,24.2
5263,239.3,15.5,27.3,15.7
5264,102.7,29.6,8.4,14
5265,131.1,42.8,28.9,18
5266,69,9.3,0.9,9.3
5267,31.5,24.6,2.2,9.5
5268,139.3,14.5,10.2,13.4
5269,237.4,27.5,11,18.9
5270,216.8,43.9,27.2,22.3
5271,199.1,30.6,38.7,18.3
5272,109.8,14.3,31.7,12.4
5273,26.8,33,19.3,8.8
5274,129.4,5.7,31.3,11
5275,213.4,24.6,13.1,17
5276,16.9,43.7,89.4,8.7
5277,27.5,1.6,20.7,6.9
5278,120.5,28.5,14.2,14.2
5279,5.4,29.9,9.4,5.3
5280,116,7.7,23.1,11
5281,76.4,26.7,22.3,11.8
5282,239.8,4.1,36.9,12.3
5283,75.3,20.3,32.5,11.3
5284,68.4,44.5,35.6,13.6
5285,213.5,43,33.8,21.7
5286,193.2,18.4,65.7,15.2
5287,76.3,27.5,16,12
5288,110.7,40.6,63.2,16
5289,88.3,25.5,73.4,12.9
5290,109.8,47.8,51.4,16.7
5291,134.3,4.9,9.3,11.2
5292,28.6,1.5,33,7.3
5293,217.7,33.5,59,19.4
5294,250.9,36.5,72.3,22.2
5295,107.4,14,10.9,11.5
5296,163.3,31.6,52.9,16.9
5297,197.6,3.5,5.9,11.7
5298,184.9,21,22,15.5
5299,289.7,42.3,51.2,25.4
5300,135.2,41.7,45.9,17.2
5301,222.4,4.3,49.8,11.7
5302,296.4,36.3,100.9,23.8
5303,280.2,10.1,21.4,14.8
5304,187.9,17.2,17.9,14.7
5305,238.2,34.3,5.3,20.7
5306,137.9,46.4,59,19.2
5307,25,11,29.7,7.2
5308,90.4,0.3,23.2,8.7
5309,13.1,0.4,25.6,5.3
5310,255.4,26.9,5.5,19.8
5311,225.8,8.2,56.5,13.4
5312,241.7,38,23.2,21.8
5313,175.7,15.4,2.4,14.1
5314,209.6,20.6,10.7,15.9
5315,78.2,46.8,34.5,14.6
5316,75.1,35,52.7,12.6
5317,139.2,14.3,25.6,12.2
5318,76.4,0.8,14.8,9.4
5319,125.7,36.9,79.2,15.9
5320,19.4,16,22.3,6.6
5321,141.3,26.8,46.2,15.5
5322,18.8,21.7,50.4,7
5323,224,2.4,15.6,11.6
5324,123.1,34.6,12.4,15.2
5325,229.5,32.3,74.2,19.7
5326,87.2,11.8,25.9,10.6
5327,7.8,38.9,50.6,6.6
5328,80.2,0,9.2,8.8
5329,220.3,49,3.2,24.7
5330,59.6,12,43.1,9.7
5331,0.7,39.6,8.7,1.6
5332,265.2,2.9,43,12.7
5333,8.4,27.2,2.1,5.7
5334,219.8,33.5,45.1,19.6
5335,36.9,38.6,65.6,10.8
5336,48.3,47,8.5,11.6
5337,25.6,39,9.3,9.5
5338,273.7,28.9,59.7,20.8
5339,43,25.9,20.5,9.6
5340,184.9,43.9,1.7,20.7
5341,73.4,17,12.9,10.9
5342,193.7,35.4,75.6,19.2
5343,220.5,33.2,37.9,20.1
5344,104.6,5.7,34.4,10.4
5345,96.2,14.8,38.9,11.4
5346,140.3,1.9,9,10.3
5347,240.1,7.3,8.7,13.2
5348,243.2,49,44.3,25.4
5349,38,40.3,11.9,10.9
5350,44.7,25.8,20.6,10.1
5351,280.7,13.9,37,16.1
5352,121,8.4,48.7,11.6
5353,197.6,23.3,14.2,16.6
5354,171.3,39.7,37.7,19
5355,187.8,21.1,9.5,15.6
5356,4.1,11.6,5.7,3.2
5357,93.9,43.5,50.5,15.3
5358,149.8,1.3,24.3,10.1
5359,11.7,36.9,45.2,7.3
5360,131.7,18.4,34.6,12.9
5361,172.5,18.1,30.7,14.4
5362,85.7,35.8,49.3,13.3
5363,188.4,18.1,25.6,14.9
5364,163.5,36.8,7.4,18
5365,117.2,14.7,5.4,11.9
5366,234.5,3.4,84.8,11.9
5367,17.9,37.6,21.6,8
5368,206.8,5.2,19.4,12.2
5369,215.4,23.6,57.6,17.1
5370,284.3,10.6,6.4,15
5371,50,11.6,18.4,8.4
5372,164.5,20.9,47.4,14.5
5373,19.6,20.1,17,7.6
5374,168.4,7.1,12.8,11.7
5375,222.4,3.4,13.1,11.5
5376,276.9,48.9,41.8,27
5377,248.4,30.2,20.3,20.2
5378,170.2,7.8,35.2,11.7
5379,276.7,2.3,23.7,11.8
5380,165.6,10,17.6,12.6
5381,156.6,2.6,8.3,10.5
5382,218.5,5.4,27.4,12.2
5383,56.2,5.7,29.7,8.7
5384,287.6,43,71.8,26.2
5385,253.8,21.3,30,17.6
5386,205,45.1,19.6,22.6
5387,139.5,2.1,26.6,10.3
5388,191.1,28.7,18.2,17.3
5389,286,13.9,3.7,15.9
5390,18.7,12.1,23.4,6.7
5391,39.5,41.1,5.8,10.8
5392,75.5,10.8,6,9.9
5393,17.2,4.1,31.6,5.9
5394,166.8,42,3.6,19.6
5395,149.7,35.6,6,17.3
5396,38.2,3.7,13.8,7.6
5397,94.2,4.9,8.1,9.7
5398,177,9.3,6.4,12.8
5399,283.6,42,66.2,25.5
5400,232.1,8.6,8.7,13.4
5401,230.1,37.8,69.2,22.1
5402,44.5,39.3,45.1,10.4
5403,17.2,45.9,69.3,9.3
5404,151.5,41.3,58.5,18.5
5405,180.8,10.8,58.4,12.9
5406,8.7,48.9,75,7.2
5407,57.5,32.8,23.5,11.8
5408,120.2,19.6,11.6,13.2
5409,8.6,2.1,1,4.8
5410,199.8,2.6,21.2,10.6
5411,66.1,5.8,24.2,8.6
5412,214.7,24,4,17.4
5413,23.8,35.1,65.9,9.2
5414,97.5,7.6,7.2,9.7
5415,204.1,32.9,46,19
5416,195.4,47.7,52.9,22.4
5417,67.8,36.6,114,12.5
5418,281.4,39.6,55.8,24.4
5419,69.2,20.5,18.3,11.3
5420,147.3,23.9,19.1,14.6
5421,218.4,27.7,53.4,18
5422,237.4,5.1,23.5,12.5
5423,13.2,15.9,49.6,5.6
5424,228.3,16.9,26.2,15.5
5425,62.3,12.6,18.3,9.7
5426,262.9,3.5,19.5,12
5427,142.9,29.3,12.6,15
5428,240.1,16.7,22.9,15.9
5429,248.8,27.1,22.9,18.9
5430,70.6,16,40.8,10.5
5431,292.9,28.3,43.2,21.4
5432,112.9,17.4,38.6,11.9
5433,97.2,1.5,30,9.6
5434,265.6,20,0.3,17.4
5435,95.7,1.4,7.4,9.5
5436,290.7,4.1,8.5,12.8
5437,266.9,43.8,5,25.4
5438,74.7,49.4,45.7,14.7
5439,43.1,26.7,35.1,10.1
5440,228,37.7,32,21.5
5441,202.5,22.3,31.6,16.6
5442,177,33.4,38.7,17.1
5443,293.6,27.7,1.8,20.7
5444,206.9,8.4,26.4,12.9
5445,25.1,25.7,43.3,8.5
5446,175.1,22.5,31.5,14.9
5447,89.7,9.9,35.7,10.6
5448,239.9,41.5,18.5,23.2
5449,227.2,15.8,49.9,14.8
5450,66.9,11.7,36.8,9.7
5451,199.8,3.1,34.6,11.4
5452,100.4,9.6,3.6,10.7
5453,216.4,41.7,39.6,22.6
5454,182.6,46.2,58.7,21.2
5455,262.7,28.8,15.9,20.2
5456,198.9,49.4,60,23.7
5457,7.3,28.1,41.4,5.5
5458,136.2,19.2,16.6,13.2
5459,210.8,49.6,37.7,23.8
5460,210.7,29.5,9.3,18.4
5461,53.5,2,21.4,8.1
5462,261.3,42.7,54.7,24.2
5463,239.3,15.5,27.3,15.7
5464,102.7,29.6,8.4,14
5465,131.1,42.8,28.9,18
5466,69,9.3,0.9,9.3
5467,31.5,24.6,2.2,9.5
5468,139.3,14.5,10.2,13.4
5469,237.4,27.5,11,18.9
5470,216.8,43.9,27.2,22.3
5471,199.1,30.6,38.7,18.3
5472,109.8,14.3,31.7,12.4
5473,26.8,33,19.3,8.8
5474,129.4,5.7,31.3,11
5475,213.4,24.6,13.1,17
5476,16.9,43.7,89.4,8.7
5477,27.5,1.6,20.7,6.9
5478,120.5,28.5,14.2,14.2
5479,5.4,29.9,9.4,5.3
5480,116,7.7,23.1,11
5481,76.4,26.7,22.3,11.8
5482,239.8,4.1,36.9,12.3
5483,75.3,20.3,32.5,11.3
5484,68.4,44.5,35.6,13.6
5485,213.5,43,33.8,21.7
5486,193.2,18.4,65.7,15.2
5487,76.3,27.5,16,12
5488,110.7,40.6,63.2,16
5489,88.3,25.5,73.4,12.9
5490,109.8,47.8,51.4,16.7
5491,134.3,4.9,9.3,11.2
5492,28.6,1.5,33,7.3
5493,217.7,33.5,59,19.4
5494,250.9,36.5,72.3,22.2
5495,107.4,14,10.9,11.5
5496,163.3,31.6,52.9,16.9
5497,197.6,3.5,5.9,11.7
5498,184.9,21,22,15.5
5499,289.7,42.3,51.2,25.4
5500,135.2,41.7,45.9,17.2
5501,222.4,4.3,49.8,11.7
5502,296.4,36.3,100.9,23.8
5503,280.2,10.1,21.4,14.8
5504,187.9,17.2,17.9,14.7
5505,238.2,34.3,5.3,20.7
5506,137.9,46.4,59,19.2
5507,25,11,29.7,7.2
5508,90.4,0.3,23.2,8.7
5509,13.1,0.4,25.6,5.3
5510,255.4,26.9,5.5,19.8
5511,225.8,8.2,56.5,13.4
5512,241.7,38,23.2,21.8
5513,175.7,15.4,2.4,14.1
5514,209.6,20.6,10.7,15.9
5515,78.2,46.8,34.5,14.6
5516,75.1,35,52.7,12.6
5517,139.2,14.3,25.6,12.2
5518,76.4,0.8,14.8,9.4
5519,125.7,36.9,79.2,15.9
5520,19.4,16,22.3,6.6
5521,141.3,26.8,46.2,15.5
5522,18.8,21.7,50.4,7
5523,224,2.4,15.6,11.6
5524,123.1,34.6,12.4,15.2
5525,229.5,32.3,74.2,19.7
5526,87.2,11.8,25.9,10.6
5527,7.8,38.9,50.6,6.6
5528,80.2,0,9.2,8.8
5529,220.3,49,3.2,24.7
5530,59.6,12,43.1,9.7
5531,0.7,39.6,8.7,1.6
5532,265.2,2.9,43,12.7
5533,8.4,27.2,2.1,5.7
5534,219.8,33.5,45.1,19.6
5535,36.9,38.6,65.6,10.8
5536,48.3,47,8.5,11.6
5537,25.6,39,9.3,9.5
5538,273.7,28.9,59.7,20.8
5539,43,25.9,20.5,9.6
5540,184.9,43.9,1.7,20.7
5541,73.4,17,12.9,10.9
5542,193.7,35.4,75.6,19.2
5543,220.5,33.2,37.9,20.1
5544,104.6,5.7,34.4,10.4
5545,96.2,14.8,38.9,11.4
5546,140.3,1.9,9,10.3
5547,240.1,7.3,8.7,13.2
5548,243.2,49,44.3,25.4
5549,38,40.3,11.9,10.9
5550,44.7,25.8,20.6,10.1
5551,280.7,13.9,37,16.1
5552,121,8.4,48.7,11.6
5553,197.6,23.3,14.2,16.6
5554,171.3,39.7,37.7,19
5555,187.8,21.1,9.5,15.6
5556,4.1,11.6,5.7,3.2
5557,93.9,43.5,50.5,15.3
5558,149.8,1.3,24.3,10.1
5559,11.7,36.9,45.2,7.3
5560,131.7,18.4,34.6,12.9
5561,172.5,18.1,30.7,14.4
5562,85.7,35.8,49.3,13.3
5563,188.4,18.1,25.6,14.9
5564,163.5,36.8,7.4,18
5565,117.2,14.7,5.4,11.9
5566,234.5,3.4,84.8,11.9
5567,17.9,37.6,21.6,8
5568,206.8,5.2,19.4,12.2
5569,215.4,23.6,57.6,17.1
5570,284.3,10.6,6.4,15
5571,50,11.6,18.4,8.4
5572,164.5,20.9,47.4,14.5
5573,19.6,20.1,17,7.6
5574,168.4,7.1,12.8,11.7
5575,222.4,3.4,13.1,11.5
5576,276.9,48.9,41.8,27
5577,248.4,30.2,20.3,20.2
5578,170.2,7.8,35.2,11.7
5579,276.7,2.3,23.7,11.8
5580,165.6,10,17.6,12.6
5581,156.6,2.6,8.3,10.5
5582,218.5,5.4,27.4,12.2
5583,56.2,5.7,29.7,8.7
5584,287.6,43,71.8,26.2
5585,253.8,21.3,30,17.6
5586,205,45.1,19.6,22.6
5587,139.5,2.1,26.6,10.3
5588,191.1,28.7,18.2,17.3
5589,286,13.9,3.7,15.9
5590,18.7,12.1,23.4,6.7
5591,39.5,41.1,5.8,10.8
5592,75.5,10.8,6,9.9
5593,17.2,4.1,31.6,5.9
5594,166.8,42,3.6,19.6
5595,149.7,35.6,6,17.3
5596,38.2,3.7,13.8,7.6
5597,94.2,4.9,8.1,9.7
5598,177,9.3,6.4,12.8
5599,283.6,42,66.2,25.5
5600,232.1,8.6,8.7,13.4
5601,230.1,37.8,69.2,22.1
5602,44.5,39.3,45.1,10.4
5603,17.2,45.9,69.3,9.3
5604,151.5,41.3,58.5,18.5
5605,180.8,10.8,58.4,12.9
5606,8.7,48.9,75,7.2
5607,57.5,32.8,23.5,11.8
5608,120.2,19.6,11.6,13.2
5609,8.6,2.1,1,4.8
5610,199.8,2.6,21.2,10.6
5611,66.1,5.8,24.2,8.6
5612,214.7,24,4,17.4
5613,23.8,35.1,65.9,9.2
5614,97.5,7.6,7.2,9.7
5615,204.1,32.9,46,19
5616,195.4,47.7,52.9,22.4
5617,67.8,36.6,114,12.5
5618,281.4,39.6,55.8,24.4
5619,69.2,20.5,18.3,11.3
5620,147.3,23.9,19.1,14.6
5621,218.4,27.7,53.4,18
5622,237.4,5.1,23.5,12.5
5623,13.2,15.9,49.6,5.6
5624,228.3,16.9,26.2,15.5
5625,62.3,12.6,18.3,9.7
5626,262.9,3.5,19.5,12
5627,142.9,29.3,12.6,15
5628,240.1,16.7,22.9,15.9
5629,248.8,27.1,22.9,18.9
5630,70.6,16,40.8,10.5
5631,292.9,28.3,43.2,21.4
5632,112.9,17.4,38.6,11.9
5633,97.2,1.5,30,9.6
5634,265.6,20,0.3,17.4
5635,95.7,1.4,7.4,9.5
5636,290.7,4.1,8.5,12.8
5637,266.9,43.8,5,25.4
5638,74.7,49.4,45.7,14.7
5639,43.1,26.7,35.1,10.1
5640,228,37.7,32,21.5
5641,202.5,22.3,31.6,16.6
5642,177,33.4,38.7,17.1
5643,293.6,27.7,1.8,20.7
5644,206.9,8.4,26.4,12.9
5645,25.1,25.7,43.3,8.5
5646,175.1,22.5,31.5,14.9
5647,89.7,9.9,35.7,10.6
5648,239.9,41.5,18.5,23.2
5649,227.2,15.8,49.9,14.8
5650,66.9,11.7,36.8,9.7
5651,199.8,3.1,34.6,11.4
5652,100.4,9.6,3.6,10.7
5653,216.4,41.7,39.6,22.6
5654,182.6,46.2,58.7,21.2
5655,262.7,28.8,15.9,20.2
5656,198.9,49.4,60,23.7
5657,7.3,28.1,41.4,5.5
5658,136.2,19.2,16.6,13.2
5659,210.8,49.6,37.7,23.8
5660,210.7,29.5,9.3,18.4
5661,53.5,2,21.4,8.1
5662,261.3,42.7,54.7,24.2
5663,239.3,15.5,27.3,15.7
5664,102.7,29.6,8.4,14
5665,131.1,42.8,28.9,18
5666,69,9.3,0.9,9.3
5667,31.5,24.6,2.2,9.5
5668,139.3,14.5,10.2,13.4
5669,237.4,27.5,11,18.9
5670,216.8,43.9,27.2,22.3
5671,199.1,30.6,38.7,18.3
5672,109.8,14.3,31.7,12.4
5673,26.8,33,19.3,8.8
5674,129.4,5.7,31.3,11
5675,213.4,24.6,13.1,17
5676,16.9,43.7,89.4,8.7
5677,27.5,1.6,20.7,6.9
5678,120.5,28.5,14.2,14.2
5679,5.4,29.9,9.4,5.3
5680,116,7.7,23.1,11
5681,76.4,26.7,22.3,11.8
5682,239.8,4.1,36.9,12.3
5683,75.3,20.3,32.5,11.3
5684,68.4,44.5,35.6,13.6
5685,213.5,43,33.8,21.7
5686,193.2,18.4,65.7,15.2
5687,76.3,27.5,16,12
5688,110.7,40.6,63.2,16
5689,88.3,25.5,73.4,12.9
5690,109.8,47.8,51.4,16.7
5691,134.3,4.9,9.3,11.2
5692,28.6,1.5,33,7.3
5693,217.7,33.5,59,19.4
5694,250.9,36.5,72.3,22.2
5695,107.4,14,10.9,11.5
5696,163.3,31.6,52.9,16.9
5697,197.6,3.5,5.9,11.7
5698,184.9,21,22,15.5
5699,289.7,42.3,51.2,25.4
5700,135.2,41.7,45.9,17.2
5701,222.4,4.3,49.8,11.7
5702,296.4,36.3,100.9,23.8
5703,280.2,10.1,21.4,14.8
5704,187.9,17.2,17.9,14.7
5705,238.2,34.3,5.3,20.7
5706,137.9,46.4,59,19.2
5707,25,11,29.7,7.2
5708,90.4,0.3,23.2,8.7
5709,13.1,0.4,25.6,5.3
5710,255.4,26.9,5.5,19.8
5711,225.8,8.2,56.5,13.4
5712,241.7,38,23.2,21.8
5713,175.7,15.4,2.4,14.1
5714,209.6,20.6,10.7,15.9
5715,78.2,46.8,34.5,14.6
5716,75.1,35,52.7,12.6
5717,139.2,14.3,25.6,12.2
5718,76.4,0.8,14.8,9.4
5719,125.7,36.9,79.2,15.9
5720,19.4,16,22.3,6.6
5721,141.3,26.8,46.2,15.5
5722,18.8,21.7,50.4,7
5723,224,2.4,15.6,11.6
5724,123.1,34.6,12.4,15.2
5725,229.5,32.3,74.2,19.7
5726,87.2,11.8,25.9,10.6
5727,7.8,38.9,50.6,6.6
5728,80.2,0,9.2,8.8
5729,220.3,49,3.2,24.7
5730,59.6,12,43.1,9.7
5731,0.7,39.6,8.7,1.6
5732,265.2,2.9,43,12.7
5733,8.4,27.2,2.1,5.7
5734,219.8,33.5,45.1,19.6
5735,36.9,38.6,65.6,10.8
5736,48.3,47,8.5,11.6
5737,25.6,39,9.3,9.5
5738,273.7,28.9,59.7,20.8
5739,43,25.9,20.5,9.6
5740,184.9,43.9,1.7,20.7
5741,73.4,17,12.9,10.9
5742,193.7,35.4,75.6,19.2
5743,220.5,33.2,37.9,20.1
5744,104.6,5.7,34.4,10.4
5745,96.2,14.8,38.9,11.4
5746,140.3,1.9,9,10.3
5747,240.1,7.3,8.7,13.2
5748,243.2,49,44.3,25.4
5749,38,40.3,11.9,10.9
5750,44.7,25.8,20.6,10.1
5751,280.7,13.9,37,16.1
5752,121,8.4,48.7,11.6
5753,197.6,23.3,14.2,16.6
5754,171.3,39.7,37.7,19
5755,187.8,21.1,9.5,15.6
5756,4.1,11.6,5.7,3.2
5757,93.9,43.5,50.5,15.3
5758,149.8,1.3,24.3,10.1
5759,11.7,36.9,45.2,7.3
5760,131.7,18.4,34.6,12.9
5761,172.5,18.1,30.7,14.4
5762,85.7,35.8,49.3,13.3
5763,188.4,18.1,25.6,14.9
5764,163.5,36.8,7.4,18
5765,117.2,14.7,5.4,11.9
5766,234.5,3.4,84.8,11.9
5767,17.9,37.6,21.6,8
5768,206.8,5.2,19.4,12.2
5769,215.4,23.6,57.6,17.1
5770,284.3,10.6,6.4,15
5771,50,11.6,18.4,8.4
5772,164.5,20.9,47.4,14.5
5773,19.6,20.1,17,7.6
5774,168.4,7.1,12.8,11.7
5775,222.4,3.4,13.1,11.5
5776,276.9,48.9,41.8,27
5777,248.4,30.2,20.3,20.2
5778,170.2,7.8,35.2,11.7
5779,276.7,2.3,23.7,11.8
5780,165.6,10,17.6,12.6
5781,156.6,2.6,8.3,10.5
5782,218.5,5.4,27.4,12.2
5783,56.2,5.7,29.7,8.7
5784,287.6,43,71.8,26.2
5785,253.8,21.3,30,17.6
5786,205,45.1,19.6,22.6
5787,139.5,2.1,26.6,10.3
5788,191.1,28.7,18.2,17.3
5789,286,13.9,3.7,15.9
5790,18.7,12.1,23.4,6.7
5791,39.5,41.1,5.8,10.8
5792,75.5,10.8,6,9.9
5793,17.2,4.1,31.6,5.9
5794,166.8,42,3.6,19.6
5795,149.7,35.6,6,17.3
5796,38.2,3.7,13.8,7.6
5797,94.2,4.9,8.1,9.7
5798,177,9.3,6.4,12.8
5799,283.6,42,66.2,25.5
5800,232.1,8.6,8.7,13.4
5801,230.1,37.8,69.2,22.1
5802,44.5,39.3,45.1,10.4
5803,17.2,45.9,69.3,9.3
5804,151.5,41.3,58.5,18.5
5805,180.8,10.8,58.4,12.9
5806,8.7,48.9,75,7.2
5807,57.5,32.8,23.5,11.8
5808,120.2,19.6,11.6,13.2
5809,8.6,2.1,1,4.8
5810,199.8,2.6,21.2,10.6
5811,66.1,5.8,24.2,8.6
5812,214.7,24,4,17.4
5813,23.8,35.1,65.9,9.2
5814,97.5,7.6,7.2,9.7
5815,204.1,32.9,46,19
5816,195.4,47.7,52.9,22.4
5817,67.8,36.6,114,12.5
5818,281.4,39.6,55.8,24.4
5819,69.2,20.5,18.3,11.3
5820,147.3,23.9,19.1,14.6
5821,218.4,27.7,53.4,18
5822,237.4,5.1,23.5,12.5
5823,13.2,15.9,49.6,5.6
5824,228.3,16.9,26.2,15.5
5825,62.3,12.6,18.3,9.7
5826,262.9,3.5,19.5,12
5827,142.9,29.3,12.6,15
5828,240.1,16.7,22.9,15.9
5829,248.8,27.1,22.9,18.9
5830,70.6,16,40.8,10.5
5831,292.9,28.3,43.2,21.4
5832,112.9,17.4,38.6,11.9
5833,97.2,1.5,30,9.6
5834,265.6,20,0.3,17.4
5835,95.7,1.4,7.4,9.5
5836,290.7,4.1,8.5,12.8
5837,266.9,43.8,5,25.4
5838,74.7,49.4,45.7,14.7
5839,43.1,26.7,35.1,10.1
5840,228,37.7,32,21.5
5841,202.5,22.3,31.6,16.6
5842,177,33.4,38.7,17.1
5843,293.6,27.7,1.8,20.7
5844,206.9,8.4,26.4,12.9
5845,25.1,25.7,43.3,8.5
5846,175.1,22.5,31.5,14.9
5847,89.7,9.9,35.7,10.6
5848,239.9,41.5,18.5,23.2
5849,227.2,15.8,49.9,14.8
5850,66.9,11.7,36.8,9.7
5851,199.8,3.1,34.6,11.4
5852,100.4,9.6,3.6,10.7
5853,216.4,41.7,39.6,22.6
5854,182.6,46.2,58.7,21.2
5855,262.7,28.8,15.9,20.2
5856,198.9,49.4,60,23.7
5857,7.3,28.1,41.4,5.5
5858,136.2,19.2,16.6,13.2
5859,210.8,49.6,37.7,23.8
5860,210.7,29.5,9.3,18.4
5861,53.5,2,21.4,8.1
5862,261.3,42.7,54.7,24.2
5863,239.3,15.5,27.3,15.7
5864,102.7,29.6,8.4,14
5865,131.1,42.8,28.9,18
5866,69,9.3,0.9,9.3
5867,31.5,24.6,2.2,9.5
5868,139.3,14.5,10.2,13.4
5869,237.4,27.5,11,18.9
5870,216.8,43.9,27.2,22.3
5871,199.1,30.6,38.7,18.3
5872,109.8,14.3,31.7,12.4
5873,26.8,33,19.3,8.8
5874,129.4,5.7,31.3,11
5875,213.4,24.6,13.1,17
5876,16.9,43.7,89.4,8.7
5877,27.5,1.6,20.7,6.9
5878,120.5,28.5,14.2,14.2
5879,5.4,29.9,9.4,5.3
5880,116,7.7,23.1,11
5881,76.4,26.7,22.3,11.8
5882,239.8,4.1,36.9,12.3
5883,75.3,20.3,32.5,11.3
5884,68.4,44.5,35.6,13.6
5885,213.5,43,33.8,21.7
5886,193.2,18.4,65.7,15.2
5887,76.3,27.5,16,12
5888,110.7,40.6,63.2,16
5889,88.3,25.5,73.4,12.9
5890,109.8,47.8,51.4,16.7
5891,134.3,4.9,9.3,11.2
5892,28.6,1.5,33,7.3
5893,217.7,33.5,59,19.4
5894,250.9,36.5,72.3,22.2
5895,107.4,14,10.9,11.5
5896,163.3,31.6,52.9,16.9
5897,197.6,3.5,5.9,11.7
5898,184.9,21,22,15.5
5899,289.7,42.3,51.2,25.4
5900,135.2,41.7,45.9,17.2
5901,222.4,4.3,49.8,11.7
5902,296.4,36.3,100.9,23.8
5903,280.2,10.1,21.4,14.8
5904,187.9,17.2,17.9,14.7
5905,238.2,34.3,5.3,20.7
5906,137.9,46.4,59,19.2
5907,25,11,29.7,7.2
5908,90.4,0.3,23.2,8.7
5909,13.1,0.4,25.6,5.3
5910,255.4,26.9,5.5,19.8
5911,225.8,8.2,56.5,13.4
5912,241.7,38,23.2,21.8
5913,175.7,15.4,2.4,14.1
5914,209.6,20.6,10.7,15.9
5915,78.2,46.8,34.5,14.6
5916,75.1,35,52.7,12.6
5917,139.2,14.3,25.6,12.2
5918,76.4,0.8,14.8,9.4
5919,125.7,36.9,79.2,15.9
5920,19.4,16,22.3,6.6
5921,141.3,26.8,46.2,15.5
5922,18.8,21.7,50.4,7
5923,224,2.4,15.6,11.6
5924,123.1,34.6,12.4,15.2
5925,229.5,32.3,74.2,19.7
5926,87.2,11.8,25.9,10.6
5927,7.8,38.9,50.6,6.6
5928,80.2,0,9.2,8.8
5929,220.3,49,3.2,24.7
5930,59.6,12,43.1,9.7
5931,0.7,39.6,8.7,1.6
5932,265.2,2.9,43,12.7
5933,8.4,27.2,2.1,5.7
5934,219.8,33.5,45.1,19.6
5935,36.9,38.6,65.6,10.8
5936,48.3,47,8.5,11.6
5937,25.6,39,9.3,9.5
5938,273.7,28.9,59.7,20.8
5939,43,25.9,20.5,9.6
5940,184.9,43.9,1.7,20.7
5941,73.4,17,12.9,10.9
5942,193.7,35.4,75.6,19.2
5943,220.5,33.2,37.9,20.1
5944,104.6,5.7,34.4,10.4
5945,96.2,14.8,38.9,11.4
5946,140.3,1.9,9,10.3
5947,240.1,7.3,8.7,13.2
5948,243.2,49,44.3,25.4
5949,38,40.3,11.9,10.9
5950,44.7,25.8,20.6,10.1
5951,280.7,13.9,37,16.1
5952,121,8.4,48.7,11.6
5953,197.6,23.3,14.2,16.6
5954,171.3,39.7,37.7,19
5955,187.8,21.1,9.5,15.6
5956,4.1,11.6,5.7,3.2
5957,93.9,43.5,50.5,15.3
5958,149.8,1.3,24.3,10.1
5959,11.7,36.9,45.2,7.3
5960,131.7,18.4,34.6,12.9
5961,172.5,18.1,30.7,14.4
5962,85.7,35.8,49.3,13.3
5963,188.4,18.1,25.6,14.9
5964,163.5,36.8,7.4,18
5965,117.2,14.7,5.4,11.9
5966,234.5,3.4,84.8,11.9
5967,17.9,37.6,21.6,8
5968,206.8,5.2,19.4,12.2
5969,215.4,23.6,57.6,17.1
5970,284.3,10.6,6.4,15
5971,50,11.6,18.4,8.4
5972,164.5,20.9,47.4,14.5
5973,19.6,20.1,17,7.6
5974,168.4,7.1,12.8,11.7
5975,222.4,3.4,13.1,11.5
5976,276.9,48.9,41.8,27
5977,248.4,30.2,20.3,20.2
5978,170.2,7.8,35.2,11.7
5979,276.7,2.3,23.7,11.8
5980,165.6,10,17.6,12.6
5981,156.6,2.6,8.3,10.5
5982,218.5,5.4,27.4,12.2
5983,56.2,5.7,29.7,8.7
5984,287.6,43,71.8,26.2
5985,253.8,21.3,30,17.6
5986,205,45.1,19.6,22.6
5987,139.5,2.1,26.6,10.3
5988,191.1,28.7,18.2,17.3
5989,286,13.9,3.7,15.9
5990,18.7,12.1,23.4,6.7
5991,39.5,41.1,5.8,10.8
5992,75.5,10.8,6,9.9
5993,17.2,4.1,31.6,5.9
5994,166.8,42,3.6,19.6
5995,149.7,35.6,6,17.3
5996,38.2,3.7,13.8,7.6
5997,94.2,4.9,8.1,9.7
5998,177,9.3,6.4,12.8
5999,283.6,42,66.2,25.5
